"DATA","DESCRIZIONE","COSTO","TIPO SPESA","FORNITORE","CATEGORIA","DESTINAZIONE","METODO PAGAMENTO","PAGATO","AZIONI"
"12/01/2025","FATTURA IEE2025000473680 (ABBONAMENTO MENSILE ADOBE CREATIVE CLOUD)","55,84 €","Variabili","Adobe","Gestione","Azienda","Bonifico","","   "
"13/01/2025","FATTURA 2/001 (LAVORI GHIBLI)","4.750,00 €","Fissi","Anselmo","Cantiere","Ghibli","Bonifico","","   "
"13/01/2025","FATTURA 50 (NUOVA FIRMA DIGITALE MARCELLO)","80,00 €","Fissi","Semplifica imprese S.r.l.","Acquisto nuovo","Azienda","Bonifico","","   "
"14/01/2025","FATTURA 7/375 (VISITA TECNICA PER RINNOVO IDONEITÀ AL NOLEGGIO COLUMBUS)","419,00 €","Fissi","Istituto Giordano spa","Burocrazia","Columbus","Bonifico","","   "
"15/01/2025","FATTURA V2-2033 (RATA 1 DI 29 CANONE LEASING APPLE DESKTOP IMAC M4 UFFICIO)","65,85 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"16/01/2025","F24 BERTOLDI BOATS","9.474,82 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"16/01/2025","FATTURA 5 (LAVORI L'AURORA)","384,44 €","Fissi","Domenegoni","Meccanico","L'Aurora","Bonifico","","   "
"16/01/2025","FATTURA 4 (TAGLIANDO GHIBLI)","711,14 €","Fissi","Domenegoni","Meccanico","Ghibli","Bonifico","","   "
"16/01/2025","FATTURA 21251 (CIALDE CAFFÈ PER UFFICIO)","62,13 €","Variabili","Nespresso","Ufficio","Azienda","Bonifico","","   "
"17/01/2025","FATTURA 2005771","22,40 €","Fissi","Nexi Payments spa","Sito","Azienda","Bonifico","","   "
"17/01/2025","RIMBORSO SPESE DI VIAGGIO TRASFERTA PER VISITA TECNICA COLUMBUS","70,00 €","Fissi","Istituto Giordano spa","Burocrazia","Columbus","Contante Extra","","   "
"20/01/2025","FATTURA 7/001 (SALDO PER REALIZZAZIONE INVASI)","1.000,00 €","Fissi","Anselmo","Cantiere","Azienda","Bonifico","","   "
"20/01/2025","FATTURA 7/001 (RIPARAZIONE TENDALINO BECOME)","250,00 €","Fissi","Anselmo","Cantiere","Become","Bonifico","","   "
"20/01/2025","FATTURA 7/001 (REALIZZAZIONE GRADINI ETERNITY)","250,00 €","Fissi","Anselmo","Cantiere","Eternity","Bonifico","","   "
"20/01/2025","FATTURA 2025/43V2 (SPEDIZIONE SCHERMI A BIMOTOR PER BELUGA E LIBERA)","9,92 €","Variabili","Mail Boxes etc","Logistica","Azienda","Bonifico","","   "
"20/01/2025","NOTA DI CREDITO 25NCM0020 A STORNO DELLA FT. 24FVM1420 PER ARTICOLO RESO > LA FT. VERRÀ COMUNQUE PAGATA CON RI.BA. E CI VERRA' SCALATO L'IMPORTO SULLA PROSSIMA FT.","870,39 €","Fissi","Osculati","Gestione","Beluga","Bonifico","","   "
"20/01/2025","FATTURA 16/2025 (REVISIONE FURGONCINO CADDY)","66,59 €","Fissi","Teo JDM Performance di Mariani Matteo e C. sas","Meccanico","Azienda","Bonifico","","   "
"22/01/2025","FATTURA 100031 (ELICA PER LIBERA)","53,20 €","Variabili","L'altra randa s.r.l.","Acquisto nuovo","Libera","Bonifico","","   "
"23/01/2025","RC FURGONCINO CADDY","450,00 €","Fissi","Cattolica Assicurazioni","Gestione","Azienda","Bonifico","","   "
"23/01/2025","SPOTIFY GENNAIO 2025","35,98 €","Fissi","Spotify","Gestione","Azienda","Bonifico","","   "
"25/01/2025","FATTURA E30716/2025 (ELETTRICITÀ UFFICIO DICEMBRE 2024)","103,04 €","Fissi","Repower","Ufficio","Azienda","Bonifico","","   "
"27/01/2025","FATTURA 4 (PACCHETTO ZOHO 5 ORE)","330,00 €","Variabili","Strategica s.r.l.","Marketing","Azienda","Bonifico","","   "
"27/01/2025","SPESE PER VISITA DI REVISIONE PERIODICA BELUGA","45,57 €","Fissi","Ministero delle Infrastrutture e dei Trasporti","Burocrazia","Beluga","Bonifico","","   "
"27/01/2025","SPESE PER VISITA DI REVISIONE PERIODICA GHIBLI","45,57 €","Fissi","Ministero delle Infrastrutture e dei Trasporti","Burocrazia","Ghibli","Bonifico","","   "
"27/01/2025","SPESE PER VISITA DI REVISIONE PERIODICA MAGIA","45,57 €","Fissi","Ministero delle Infrastrutture e dei Trasporti","Burocrazia","Magia","Bonifico","","   "
"27/01/2025","SPESE PER VISITA DI REVISIONE PERIODICA L'AURORA","45,57 €","Fissi","Ministero delle Infrastrutture e dei Trasporti","Burocrazia","L'Aurora","Bonifico","","   "
"28/01/2025","FATTURA 12 (Copywriting 1 Articolo ottimizzato SEO IT e Revisione copy di 1 articolo in ottica SEO IT)","215,00 €","Variabili","Strategica s.r.l.","Marketing","Azienda","Bonifico","","   "
"28/01/2025","SPESE ISTRUTTORIA PER RILASCIO CERTIFICATO IDONEITÀ AL NOLEGGIO COLUMBUS","20,00 €","Fissi","Provincia di Brescia","Burocrazia","Columbus","Bonifico","","   "
"30/01/2025","FATTURA 02 (LAVORI PER SISTEMAZIONE RANCRAFT ROSSA)","1.150,00 €","Fissi","Marai","Cantiere","Motoscafini","Bonifico","","   "
"30/01/2025","FATTURA ES59RU9AEUI (BIDONE ASPIRATUTTO PER CANTIERE/LUNGOLAGO)","172,49 €","Variabili","Amazon","Acquisto nuovo","Azienda","Bonifico","","   "
"30/01/2025","FATTURA IT5000IBS3S5DI (2 COVER PER IPAD)","37,76 €","Variabili","Amazon","Acquisto nuovo","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 3269 (CONSULENZA AMMINISTRATIVA E FISCALE)","1.500,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 3278 (CONSULENZA ORGANIZZAZIONE AZIENDALE)","1.500,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 24FVM1420 (PANNELLO PROPORZIONALE SINGOLO ALLUMINIO > COMANDO ELICA PER BELUGA, RESO A OSCULATI E RICEVUTA NC 25NCM0020)","872,39 €","Variabili","Osculati","Gestione","Beluga","Bonifico","","   "
"31/01/2025","FATTURA 9110 (RINNOVO LICENZA ANNUALE MICROSOFT 365 BUSINESS STANDARD)","140,40 €","Variabili","Alterna s.r.l.","Ufficio","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 76 (LAVORI DI PROGETTAZIONE GRAFICA E COMUNICAZIONE AZIENDALE NOVEMBRE-DICEMBRE 2024)","1.200,00 €","Variabili","Logotomica","Grafica","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 3433 (INVIO TELEMATICO F24)","214,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"31/01/2025","FATTURA FA.SEDE-2025-25 (RATA 1 DI 2 ORMEGGIO COLUMBUS ANNO 2025)","1.725,00 €","Fissi","Società Canottieri Garda Salò","Gestione","Columbus","Bonifico","","   "
"31/01/2025","TESSERA SOCIALE ANNO 2025 > PAGATA DAL CONTO DI MARCELLO IL 23/01/2025","70,00 €","Fissi","Società Canottieri Garda Salò","Gestione","Columbus","Bonifico","","   "
"31/01/2025","FATTURA 22 (RATA 2 DI 2 PER PUBBLICITÀ SULLA RIVISTA DER SPIEGEL)","647,13 €","Variabili","Media Company s.r.l.","Pubblicità","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 1/2025 (CONSULENZA GENNAIO 2025)","852,00 €","Variabili","Sarasini Laura","Marketing","Azienda","Bonifico","","   "
"31/01/2025","SPESE BANCARIE","31,66 €","Fissi","Banca BCC","Banca","Azienda","Bonifico","","   "
"31/01/2025","FATTURA 2025-1908-47 (CAMPAGNA GARDASEE.DE 2025)","500,00 €","Variabili","Gardasee","Pubblicità","Azienda","Bonifico","","   "
"31/01/2025","SPESE BANCARIE","218,09 €","Fissi","BNL B.BOATS","Banca","Azienda","Bonifico","","   "
"01/02/2025","FATTURA 3141/V1/2024 (RICEVUTA IL 20/12, SIAMO D'ACCORDO CHE PAGHEREMO A FEBBRAIO)","14.824,50 €","Variabili","wmr srl","Sito","Azienda","Bonifico","","   "
"03/02/2025","FATTURA 42B8DAE0-0038 (CANONE REGIONDO FEBBRAIO 2025)","99,00 €","Fissi","Regiondo","Sito","Azienda","Bonifico","","   "
"03/02/2025","FATTURA B_000046702/2025","13,67 €","Variabili","Easy Park Italia srl","Gestione","Azienda","Bonifico","","   "
"03/02/2025","FATTURA 5 (FORNITURA E POSA PAVIMENTO UFFICIO 2) > STORNATA CON NC 9 DEL 19/02 CAUSA ERRATA IVA","2.900,00 €","Variabili","Stefano Mattinzioli","Ufficio","Azienda","Bonifico","","   "
"05/02/2025","FATTURA 10 (AFFITTO UFFICI FEBBRAIO 2025)","1.200,00 €","Fissi","Peruz","Ufficio","Azienda","Bonifico","","   "
"05/02/2025","FATTURA 202500060 (TONER GIALLO E TONER NERO)","190,50 €","Variabili","Area Ufficio snc","Ufficio","Azienda","Bonifico","","   "
"06/02/2025","FATTURA 20 (TRASPORTO CANTIERE-NAUTICA CARLO GHIBLI)","200,00 €","Fissi","Logistic Trans","Logistica","Ghibli","Bonifico","","   "
"06/02/2025","FATTURA 20 (TRASPORTO NAUTICA CARLO-CANTIERE + ATTESA PER SCARICO LIBERA)","320,00 €","Fissi","Logistic Trans","Logistica","Libera","Bonifico","","   "
"06/02/2025","FATTURA 20 (TRASPORTO NAUTICA CARLO-CANTIERE VIRGILIO)","200,00 €","Fissi","Logistic Trans","Logistica","Virgilio","Bonifico","","   "
"06/02/2025","FATTURA 20 (TRASPORTO NAUTICA CARLO-CANTIERE CANDIDO)","200,00 €","Fissi","Logistic Trans","Logistica","Candido","Bonifico","","   "
"06/02/2025","FATTURA 20 (TRASPORTO CANTIERE-NAUTICA CARLO L'AURORA)","200,00 €","Fissi","Logistic Trans","Logistica","L'Aurora","Bonifico","","   "
"06/02/2025","FATTURA 469 (11 DISPOSITIVI GPS PER MOTOSCAFI)","1.237,75 €","Variabili","MAS System srl","Acquisto nuovo","Azienda","Bonifico","","   "
"07/02/2025","FATTURA V2-45646 (RATA 10 DI 29 CANONE LEASING APPLE LAPTOP MACBOOK AIR MARCELLO)","59,38 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"07/02/2025","FORFAIT RAGAZZI GENNAIO","300,00 €","Fissi","Anselmo","Cantiere","Azienda","Contante Extra","","   "
"07/02/2025","FATTURA MC10613339","135,87 €","Fissi","Mailchimp","Pubblicità","Azienda","Bonifico","","   "
"07/02/2025","LAVORI LIBERA","1.700,00 €","Fissi","Anselmo","Cantiere","Libera","Contante Extra","","   "
"10/02/2025","ISCRIZIONE AZIENZA A SOCIO FINERGIS PER FINANZIAMENTO BCC","50,00 €","Fissi","Finergis","Banca","Azienda","Bonifico","","   "
"10/02/2025","FATTURA IT5000DF5BRT7I (2 IPAD RICONDIZIONATI PER RIVA E GOZZO)","362,30 €","Fissi","Amazon","Acquisto nuovo","Azienda","Bonifico","","   "
"11/02/2025","FATTURA 14/001 (LAVORI LIBERA)","3.100,00 €","Fissi","Anselmo","Cantiere","Libera","Bonifico","","   "
"12/02/2025","FATTURA IEE2025001770036 (ABBONAMENTO MENSILE ADOBE CREATIVE CLOUD)","55,84 €","Variabili","Adobe","Gestione","Azienda","Bonifico","","   "
"13/02/2025","FATTURA 187 (SI SONO SBAGLIATI E HANNO EMESSO UNA FATTURA IN PIÙ, STORNATA CON NC 397 DEL 28/02)","647,13 €","Variabili","Media Company s.r.l.","Pubblicità","Azienda","Bonifico","","   "
"13/02/2025","SCALETTA PER VIRGILIO","10,00 €","Variabili","Massimo acciaista","Cantiere","Virgilio","Contante Extra","","   "
"13/02/2025","RIPARAZIONE 13 ELICHE","280,00 €","Variabili","Massimo acciaista","Cantiere","Azienda","Contante Extra","","   "
"14/02/2025","CANONE UNICO PATRIMONIALE 2024 (OCCUPAZIONE LUNGOLAGO E PIAZZALE PORTO) > NON CI È ARRIVATO L'AVVISO PER POSTA, PAGATO IN RITARDO)","387,00 €","Fissi","comune","Tasse","Azienda","Bonifico","","   "
"15/02/2025","FATTURA V2-56491 (RATA 2 DI 29 CANONE LEASING APPLE DESKTOP IMAC M4 UFFICIO)","63,85 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"17/02/2025","F24 BERTOLDI BOATS (PRIMA RATA AUTOLIQUIDAZIONE INAIL 2024/2025)","1.412,71 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"17/02/2025","F24 BERTOLDI BOATS","6.991,77 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"18/02/2025","FATTURA 2406225","22,40 €","Fissi","Nexi Payments spa","Sito","Azienda","Bonifico","","   "
"20/02/2025","FATTURA 2025F000125229","425,62 €","Fissi","Wind","Gestione","Azienda","Bonifico","","   "
"20/02/2025","NOTA DI CREDITO 13 A STORNO DELLA FT. 5 CAUSA ERRATA IVA","2.900,00 €","Variabili","Stefano Mattinzioli","Ufficio","Azienda","Bonifico","","   "
"20/02/2025","FATTURA 10 (FORNITURA E POSA PAVIMENTO UFFICIO 2)","2.900,00 €","Variabili","Stefano Mattinzioli","Ufficio","Azienda","Bonifico","","   "
"21/02/2025","FATTURA 2 (COSTI PER TRATTATIVA RIVA NON ANDATA A BUON FINE)","750,00 €","Variabili","Lycam srl","Acquisto nuovo","Azienda","Bonifico","","   "
"24/02/2025","SPOTIFY FEBBRAIO 2025","35,98 €","Fissi","Spotify","Gestione","Azienda","Bonifico","","   "
"24/02/2025","FATTURA 2025/01735/443 (GASOLIO)","1.265,71 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"24/02/2025","FATTURA 80139 (CIALDE CAFFÈ PER UFFICIO)","65,82 €","Variabili","Nespresso","Ufficio","Azienda","Bonifico","","   "
"25/02/2025","SALDO LIBERA","1.000,00 €","Fissi","Anselmo","Cantiere","Libera","Contante Extra","","   "
"25/02/2025","FATTURA 2025E75443 (ELETTRICITÀ UFFICIO GENNAIO 2025)","100,75 €","Fissi","Repower","Ufficio","Azienda","Bonifico","","   "
"25/02/2025","FATTURA IT25-AEUI-2544775 (10 DISINFETTANTI PER CASSETTE DI PRONTO SOCCORSO)","24,09 €","Variabili","Amazon","Gestione","Azienda","Bonifico","","   "
"25/02/2025","FATTURA IT5001SS998RLI (5 CONFEZIONI DI GARZE PER CASSETTE DI PRONTO SOCCORSO)","7,27 €","Variabili","Amazon","Gestione","Azienda","Bonifico","","   "
"25/02/2025","FATTURA IT5002C5DWXH1I (5 FLACONI DI NEOXIDINA PER CASSETTE DI PRONTO SOCCORSO)","53,18 €","Variabili","Amazon","Gestione","Azienda","Bonifico","","   "
"25/02/2025","FATTURA 161 (AFFITTO DI RAMO D'AZIENDA IMBARCAZIONE DANIELI PER LA DURATA DI 3 ANNI)","5.220,00 €","Fissi","Pozzoli","Legali","Kiar di Luna","Bonifico","","   "
"26/02/2025","FATTURA 328/S (50 ROTOLI DI CARTA PER REGISTRATORI DI CASSA)","40,00 €","Fissi","S.C. sistemi di cassa","Gestione","Azienda","Bonifico","","   "
"26/02/2025","LIBRI SOCIALI PER COSTITUZIONE NUOVA SOCIETÀ RIVA BOATS CHARTER SRL (DOBBIAMO PAGARLO NOI)","309,87 €","Fissi","Agenzia delle Entrate","Tasse","","Contante Extra","","   "
"26/02/2025","FATTURA 0O/33 (STACCABATTERIA PER BELUGA)","14,59 €","Variabili","Lepanto","Acquisto nuovo","Beluga","Bonifico","","   "
"26/02/2025","FATTURA 18/001 (LAVORI BELUGA)","3.250,00 €","Fissi","Anselmo","Cantiere","Beluga","Bonifico","","   "
"26/02/2025","FATTURA IT50052ERT5XZI (1000 BICCHIERINI CAFFÈ PER UFFICIO)","13,91 €","Variabili","Pulsar Group srl","Ufficio","Azienda","Bonifico","","   "
"27/02/2025","FATTURA 303 (APERTURA CASELLA PEC PER RIVA BOATS CHARTER S.R.L. > PAGATA DAL CONTO BB, ARRIVERÀ FT. ALLA BERTOLDI)","33,00 €","Fissi","Semplifica imprese S.r.l.","Gestione","Riva","Bonifico","","   "
"27/02/2025","FATTURA IT00125VEN01202 (ELICA E PANNELLO DI CONTROLLO PER ETERNITY)","154,50 €","Variabili","Quick","Cantiere","Eternity","Bonifico","","   "
"28/02/2025","SPESE BANCARIE","304,36 €","Fissi","BNL B.BOATS","Banca","Azienda","Bonifico","","   "
"28/02/2025","SPESE BANCARIE","16,09 €","Fissi","Banca BCC","Banca","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 136 (LICENZA TIC ACCONTO 2025)","58,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 18 (TRANSITO FATTURE DIGITAL HUB E ARCHIVIAZIONE)","977,04 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"28/02/2025","PRIMA RATA CANONE PORTUALE 2025 - 1 POSTO BARCA DESENZANO (ETERNITY)","403,00 €","Fissi","Consorzio Salò","Burocrazia","Eternity","Bonifico","","   "
"28/02/2025","QUOTA UNII 2025","500,00 €","Fissi","Unione Navigazione Interna Italiana","Gestione","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755  (FILTRO VOLANTE, PARABORDI, PONTICELLO, GANCIO E BOTTONI PER TUTTI I TAXI)","461,63 €","Fissi","Osculati","Cantiere","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (POMPA SENTINA PER MAGIA)","102,61 €","Fissi","Osculati","Cantiere","Magia","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (POMPA SENTINA, ATTACCO RAPID LOCK, PRESA D'ARIA, INTERRUTTORI PER LIBERA)","212,57 €","Fissi","Osculati","Cantiere","Libera","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (POMPA SENTINA E ATTACCO RAPID LOCK PER ETERNITY)","189,49 €","Fissi","Osculati","Cantiere","Eternity","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (POMPA RULE PER GHIBLI)","203,98 €","Fissi","Osculati","Cantiere","Ghibli","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (PRESA D'ARIA, INTERRUTTORI PER BELUGA)","16,78 €","Fissi","Osculati","Cantiere","Beluga","Bonifico","","   "
"28/02/2025","FATTURA 25FVI00755 (MANICO TELESCOPICO PER TAXI)","84,14 €","Fissi","Osculati","Cantiere","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 20109/2025 (LINEA FISSA E CENTRALINO)","229,00 €","Fissi","Intred spa","Gestione","Azienda","Bonifico","","   "
"28/02/2025","PRIMA RATA CANONE PORTUALE 2025 - 5 POSTI BARCA SIRMIONE","717,00 €","Fissi","Consorzio Salò","Burocrazia","Azienda","Bonifico","","   "
"28/02/2025","PRIMA RATA CANONE PORTUALE 2025 - 1 POSTO BARCA DESENZANO (L'AURORA)","265,00 €","Fissi","Consorzio Salò","Burocrazia","L'Aurora","Bonifico","","   "
"28/02/2025","FATTURA 63 (ESTINTORI PER COLUMBUS CON CONTROLLO E REVISIONE)","78,00 €","Fissi","ste.lla","Gestione","Columbus","Bonifico","","   "
"28/02/2025","FATTURA 417/00 (RATA 1 DI 2 CANONE DI LOCAZIONE CARTELLO PUBBLICITARIO A DESENZANO)","642,94 €","Fissi","Pic srl","Pubblicità","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 4 (CONSULENZA CREATIVA E PROGETTAZIONE GRAFICA GENNAIO 2025)","530,00 €","Variabili","Logotomica","Grafica","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 24 (STUZZICHINI PER TOUR GENNAIO 2025)","30,25 €","Variabili","Forno integrale snc","Cibo e bevande","Azienda","Bonifico","","   "
"28/02/2025","FATTURA FD/451 (ARTICOLI VARI PER CANTIERE)","234,57 €","Variabili","cima","Cantiere","Azienda","Bonifico","","   "
"28/02/2025","FATTURA 99 (ADESIVI PER LIBERA)","43,00 €","Fissi","Garda incisioni","Grafica","Libera","Bonifico","","   "
"28/02/2025","FATTURA 138/001 (CONTRATTO ORMEGGIO VIRGILIO 2025)","5.700,00 €","Fissi","Sirmione 2","Gestione","Virgilio","Bonifico","","   "
"28/02/2025","FATTURA 163/001 (CONTRATTO ORMEGGIO CANDIDO 2025)","5.700,00 €","Fissi","Sirmione 2","Gestione","Candido","Bonifico","","   "
"28/02/2025","FATTURA 355 (10 CONFEZIONI DI ACQUA NATURALE)","51,74 €","Variabili","Quadri Bevande srl","Cibo e bevande","Azienda","Bonifico","","   "
"03/03/2025","FATTURA 42B8DAE0-0039 (CANONE REGIONDO MARZO 2025)","99,00 €","Fissi","Regiondo","Sito","Azienda","Bonifico","","   "
"03/03/2025","FATTURA 2 (CONSULENZA SOCIAL)","366,08 €","Variabili","Rey Martina","Marketing","Azienda","Bonifico","","   "
"03/03/2025","FATTURA 6 (CONSULENZA FEBBRAIO 2025)","852,00 €","Variabili","Sarasini Laura","Marketing","Azienda","Bonifico","","   "
"03/03/2025","FATTURA B_000098208/2025","14,20 €","Variabili","Easy Park Italia srl","Gestione","Azienda","Bonifico","","   "
"03/03/2025","FATTURA FR5BUTQ6AEUI (2 CONTENITORI PORTA DOCUMENTI PER KIAR DI LUNA E RIVA E 5 FLACONI DI ACQUA OSSIGENATA PER CASSETTE DI PRONTO SOCCORSO)","30,52 €","Variabili","Amazon","Gestione","Azienda","Bonifico","","   "
"04/03/2025","IMPOSTA DI REGISTRO PER AFFITTO APPARTAMENTO MARCELLO ALLA BB + 2 MARCHE DA BOLLO DA 16€ (PAGAMENTO VALIDO DAL 01/03/25 AL 28/02/26)","152,00 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"04/03/2025","FATTURA 3 (DICHIARAZIONE ANNUALE IVA 2024 CON VISTO DI CONFORMITÀ)","940,54 €","Variabili","Remelli Gianni","Contabilità","Azienda","Bonifico","","   "
"04/03/2025","PIEDE VIRGILIO","80,00 €","Variabili","Massimo acciaista","Cantiere","Virgilio","Contante Extra","","   "
"05/03/2025","FATTURA IT00125VEN01274 (SPESE DI TRASPORTO PER ELICA E PANNELLO ETERNITY)","17,30 €","Variabili","Quick","Cantiere","Eternity","Bonifico","","   "
"05/03/2025","FATTURA 40 (LAVORI CANDIDO)","13.902,38 €","Fissi","Domenegoni","Meccanico","Candido","Bonifico","","   "
"05/03/2025","CAPARRA DI 3 MESI + PRIMA MENSILITÀ AFFITTO APPARTAMENTO COLOMBARE MARZO 2025","1.600,00 €","Fissi","Angelica Donati","Gestione","Azienda","Bonifico","","   "
"05/03/2025","FATTURA 15 (AFFITTO UFFICI MARZO 2025)","1.200,00 €","Fissi","Peruz","Ufficio","Azienda","Bonifico","","   "
"05/03/2025","FATTURA AR00500523","82,50 €","Fissi","Vodafone","Gestione","Azienda","Bonifico","","   "
"06/03/2025","FATTURA 79 (TRASPORTO CANTIERE-NAUTICA CARLO PER LIBERA)","210,00 €","Fissi","Logistic Trans","Logistica","Libera","Bonifico","","   "
"06/03/2025","FATTURA 79 (TRASPORTO NAUTICA CARLO-CANTIERE PER BELUGA)","210,00 €","Fissi","Logistic Trans","Logistica","Beluga","Bonifico","","   "
"06/03/2025","FATTURA 79 (TRASPORTO CANTIERE-NAUTICA CARLO PER BELUGA)","210,00 €","Fissi","Logistic Trans","Logistica","Beluga","Bonifico","","   "
"06/03/2025","FATTURA 79 (TRASPORTO NAUTICA CARLO-CANTIERE PER ETERNITY)","210,00 €","Fissi","Logistic Trans","Logistica","Eternity","Bonifico","","   "
"07/03/2025","FATTURA MC10732139","130,64 €","Fissi","Mailchimp","Pubblicità","Azienda","Bonifico","","   "
"07/03/2025","FATTURA V2-98878 (RATA 11 DI 29 CANONE LEASING APPLE LAPTOP MACBOOK AIR MARCELLO)","59,38 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"10/03/2025","AFFITTO APPARTAMENTO MARCELLO MARZO 2025","500,00 €","Fissi","Marcello Bertoldi","Gestione","Azienda","Bonifico","","   "
"11/03/2025","SALDATURA PIEDE VIRGILIO","80,00 €","Variabili","Massimo acciaista","Cantiere","Virgilio","Contante Extra","","   "
"11/03/2025","TAPPI ETERNITY","15,00 €","Variabili","Massimo acciaista","Cantiere","Eternity","Contante Extra","","   "
"11/03/2025","GRADINI ETERNITY","120,00 €","Variabili","Massimo acciaista","Cantiere","Azienda","Contante Extra","","   "
"11/03/2025","CAPARRA AFFITTI APPARTAMENTO COLOMBARE (3 MENSILITÀ)","1.500,00 €","Fissi","Angelica Donati","Gestione","Azienda","Contante Extra","","   "
"11/03/2025","AFFITTO MARZO 2025 APPARTAMENTO COLOMBARE","500,00 €","Fissi","Angelica Donati","Gestione","Azienda","Contante Extra","","   "
"12/03/2025","FATTURA 25/001 (LAVORI ETERNITY)","3.000,00 €","Fissi","Anselmo","Cantiere","Eternity","Bonifico","","   "
